0.59903,0.20956,-0.00075515,-0.033469,0.090048,-0.03077,-0.136,0.010711,0.014537,-0.03305,-0.0012535,-0.017259,0
0.60501,0.17715,0.0056097,-0.33734,0.090048,-0.10517,-0.136,0.28577,-0.85018,-0.53283,-0.76902,-0.61398,0
0.61213,0.14516,0.012004,-0.35071,0.090048,-0.18014,-0.136,0.27003,-1.7162,-1.0141,-1.5196,-1.2107,0
0.60858,0.14443,0.0088585,-0.35629,0.90996,-1.7711,0.56396,0.25793,-1.6365,-1.1244,-1.4974,-1.2635,0
0.6177,0.10709,0.017055,-0.37495,0.90996,-1.9154,0.64004,0.24691,-2.6691,-1.6641,-2.3822,-1.951,0
0.62519,0.074296,0.023792,-0.39198,0.90996,-2.0247,0.68398,0.2365,-3.562,-2.1519,-3.1537,-2.5602,0
0.63156,0.044377,0.029531,-0.40776,0.90996,-2.1099,0.70655,0.22651,-4.3643,-2.6093,-3.8527,-3.1209,0
0.63708,0.016496,0.034505,-0.42251,0.90996,-2.1763,0.71304,0.21687,-5.1007,-3.0468,-4.4996,-3.6479,0
0.6419,-0.0098245,0.038848,-0.43636,0.90996,-2.2274,0.70659,0.20752,-5.7853,-3.4704,-5.1061,-4.1496,0
0.64611,-0.034871,0.042646,-0.44941,0.90996,-2.2652,0.68937,0.19843,-6.4267,-3.8837,-5.6793,-4.6311,0
0.64976,-0.058819,0.045948,-0.46173,0.90996,-2.2915,0.66296,0.18958,-7.03,-4.2887,-6.2233,-5.0954,0
0.6529,-0.081772,0.048784,-0.47334,0.90996,-2.3076,0.62865,0.18094,-7.5984,-4.6868,-6.7408,-5.5443,0
0.65553,-0.10379,0.05117,-0.48426,0.90996,-2.3148,0.58753,0.17251,-8.1334,-5.0787,-7.2332,-5.9789,0
0.65767,-0.12489,0.053109,-0.49452,0.90996,-2.314,0.54057,0.16428,-8.6358,-5.4647,-7.7009,-6.3996,0
0.6593,-0.14508,0.054601,-0.5041,0.90996,-2.3063,0.4886,0.15623,-9.1055,-5.8451,-8.1441,-6.8065,0
0.66043,-0.16435,0.05564,-0.51301,0.90996,-2.2923,0.4324,0.14836,-9.5423,-6.2199,-8.5626,-7.1995,0
0.66105,-0.18269,0.056218,-0.52124,0.90996,-2.273,0.37264,0.14066,-9.9456,-6.5888,-8.9559,-7.5785,0
0.66115,-0.20008,0.056332,-0.52879,0.90996,-2.249,0.30994,0.13314,-10.315,-6.9517,-9.3236,-7.943,0
0.66072,-0.2165,0.055975,-0.53566,0.90996,-2.2208,0.24481,0.12578,-10.65,-7.3084,-9.6652,-8.2927,0
0.65977,-0.23194,0.055147,-0.54185,0.90996,-2.189,0.17772,0.11859,-10.949,-7.6585,-9.9804,-8.6274,0
0.65285,-0.23677,0.048975,-0.5419,0.99493,-2.1586,0.028637,0.11156,-10.865,-7.9463,-10.008,-8.8031,0
0.65074,-0.24958,0.047104,-0.54661,0.99493,-2.1192,-0.042978,0.10469,-11.078,-8.2726,-10.256,-9.095,0
0.6481,-0.26134,0.044764,-0.55064,0.99493,-2.0772,-0.11579,0.097976,-11.255,-8.5906,-10.475,-9.3703,0
0.64495,-0.27202,0.041966,-0.554,0.99493,-2.0328,-0.18962,0.091423,-11.396,-8.9,-10.667,-9.6286,0
0.6413,-0.28163,0.038723,-0.55671,0.99493,-1.9861,-0.26438,0.085029,-11.5,-9.2,-10.83,-9.8695,0
0.63717,-0.29015,0.035048,-0.55878,0.99493,-1.9372,-0.34001,0.078792,-11.569,-9.4903,-10.966,-10.093,0
0.63258,-0.29758,0.030956,-0.56024,0.99493,-1.8862,-0.41655,0.072713,-11.602,-9.7701,-11.074,-10.298,0
0.62753,-0.3039,0.026461,-0.56108,0.99493,-1.8331,-0.49408,0.06679,-11.599,-10.039,-11.153,-10.485,0
0.62205,-0.30911,0.021575,-0.56134,0.99493,-1.7776,-0.57279,0.061025,-11.562,-10.296,-11.204,-10.653,0
0.61601,-0.31292,0.016178,-0.56087,0.99623,-1.7191,-0.65477,0.055417,-11.479,-10.538,-11.22,-10.798,0
0.61016,-0.31658,0.01096,-0.56045,0.99197,-1.6598,-0.73084,0.049965,-11.399,-10.773,-11.234,-10.937,0
0.60451,-0.3201,0.0059206,-0.56007,0.98313,-1.6004,-0.80151,0.04467,-11.321,-10.999,-11.248,-11.072,0
0.59906,-0.32348,0.0010571,-0.55974,0.97053,-1.5412,-0.86728,0.03953,-11.246,-11.217,-11.261,-11.201,0
0.5938,-0.32674,-0.0036325,-0.55945,0.95488,-1.4825,-0.92861,0.034545,-11.173,-11.426,-11.274,-11.326,0
0.58873,-0.32987,-0.0081509,-0.55919,0.93676,-1.4244,-0.98589,0.029715,-11.103,-11.629,-11.285,-11.446,0
0.58386,-0.33288,-0.012501,-0.55898,0.91664,-1.3672,-1.0395,0.02504,-11.035,-11.823,-11.297,-11.561,0
0.57916,-0.33577,-0.016687,-0.55879,0.89491,-1.311,-1.0897,0.020517,-10.97,-12.01,-11.308,-11.672,0
0.57465,-0.33856,-0.020711,-0.55863,0.87192,-1.2558,-1.1369,0.016145,-10.907,-12.19,-11.318,-11.779,0
0.57032,-0.34123,-0.024579,-0.55851,0.84792,-1.2017,-1.1812,0.011925,-10.847,-12.363,-11.328,-11.882,0
0.56615,-0.3438,-0.028293,-0.5584,0.82315,-1.1487,-1.2229,0.007854,-10.789,-12.529,-11.338,-11.98,0
0.56215,-0.34627,-0.031858,-0.55831,0.79779,-1.0969,-1.2622,0.0039307,-10.734,-12.688,-11.347,-12.075,0
